Question,Response,Old_Sentiment,New_Sentiment,Your_Label,Notes
"The Buyer's Experience: Our customers are more informed  than ever. How does this change how we add value?","Listening more",Positive,Negative,,USER REPORTED: Should be Negative (gap indicator)
"The Buyer's Experience: Our customers are more informed  than ever. How does this change how we add value?","Listen more..",Positive,Negative,,USER REPORTED: Should be Negative (gap indicator)
"As routine tasks get automated, what becomes the most important, uniquely human ways we add value?","Active listening and understanding what client actually needs to solve their problems",Neutral,Negative,,USER REPORTED: Should be Negative (gap indicator)
"What should we stop doing  today?","Poc",Neutral,Negative,,USER REPORTED: Should be Negative (pain point in context)
"What should we stop doing  today?","POC",Neutral,Negative,,USER REPORTED: Should be Negative (pain point in context)
"How should our team's relationship with Product Management , Marketing , PS and CS be different?","More collaboration",Positive,Neutral,,USER REPORTED: Should be Negative/Neutral (indicates gap)
"How should our team's relationship with Product Management , Marketing , PS and CS be different?","More engagement",Positive,Neutral,,Gap indicator - not positive
"How should our team's relationship with Product Management , Marketing , PS and CS be different?","More focus",Positive,Neutral,,Gap indicator - not positive
"How should our team's relationship with Product Management , Marketing , PS and CS be different?","We should have Practice leads to bridge PM with field",Neutral,Negative,,Should be Negative - constructive criticism
"What should we start doing differently tomorrow?","Share_knowledge",Neutral,Positive,,Should be Positive - initiative
"What should we start doing differently tomorrow?","More_AI",Neutral,Positive,,Should be Positive - initiative
"What should we start doing differently tomorrow?","Enablement",Neutral,Positive,,Should be Positive - initiative (in START context)
"What are your biggest challenges and internal bottlenecks today?","Enablement",Neutral,Negative,,Should be Negative - pain point (in CHALLENGES context)
"What are your biggest challenges and internal bottlenecks today?","Incompetent_AEs",Neutral,Negative,,Should be Negative - complaint
"What are your biggest challenges and internal bottlenecks today?","Unavailability_of_GPUs",Neutral,Negative,,Should be Negative - resource constraint
"How would you describe  the team culture in International Presales?","Collaborative",Positive,Positive,,Should be Positive - strength
"How would you describe  the team culture in International Presales?","Supportive",Positive,Positive,,Should be Positive - strength
"How would you describe  the team culture in International Presales?","Overworked",Neutral,Negative,,Should be Negative - pain point
"How would you describe  the team culture in International Presales?","Stretched",Neutral,Negative,,Should be Negative - resource constraint
"How would you describe  the team culture in International Presales?","Innovative",Positive,Positive,,Should be Positive - strength
"As routine tasks get automated, what becomes the most important, uniquely human ways we add value?","Trust",Positive,Positive,,Should be Positive - strength
"As routine tasks get automated, what becomes the most important, uniquely human ways we add value?","Empathy",Positive,Positive,,Should be Positive - strength
"As routine tasks get automated, what becomes the most important, uniquely human ways we add value?","Connection",Positive,Positive,,Should be Positive - strength
"As routine tasks get automated, what becomes the most important, uniquely human ways we add value?","honestly I'm not sure",Neutral,Neutral,,Should be Neutral - uncertain response
"The Future Mission: Looking 2 years ahead, what do you believe should be Presales primary mission?","Trusted advisor",Positive,Positive,,Should be Positive - aspiration
