Question,Responses
How would you describe  the team culture in International Presales?,Innovative
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Rockstars
How would you describe  the team culture in International Presales?,Diverse
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Challenging
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Awesome
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,innovative
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Team_work
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,innovative
How would you describe  the team culture in International Presales?,Teamwork
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Humble
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Collabrative
How would you describe  the team culture in International Presales?,Creative
How would you describe  the team culture in International Presales?,Resilient
How would you describe  the team culture in International Presales?,Driven
How would you describe  the team culture in International Presales?,innovative
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Doing_their_best
How would you describe  the team culture in International Presales?,Tight
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,Dynamic
How would you describe  the team culture in International Presales?,Knowledgeable
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,collaborative
How would you describe  the team culture in International Presales?,Diverse
How would you describe  the team culture in International Presales?,Excellence
How would you describe  the team culture in International Presales?,teamwork
How would you describe  the team culture in International Presales?,positive
How would you describe  the team culture in International Presales?,Cooperate
How would you describe  the team culture in International Presales?,Loyal
How would you describe  the team culture in International Presales?,Colabarotion
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,Diverse
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,innovation
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,Teamwork
How would you describe  the team culture in International Presales?,innovative
How would you describe  the team culture in International Presales?,challengeing
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,teamwork
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,Team_work
How would you describe  the team culture in International Presales?,Stretched
How would you describe  the team culture in International Presales?,Great
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,awesome
How would you describe  the team culture in International Presales?,Supportive
How would you describe  the team culture in International Presales?,Collaborative
How would you describe  the team culture in International Presales?,humble
How would you describe  the team culture in International Presales?,Hardworking
How would you describe  the team culture in International Presales?,Collabrative
How would you describe  the team culture in International Presales?,Innovative
How would you describe  the team culture in International Presales?,collaborative
